n,pos,pos_rate,tp,fp,fn,tn,precision,recall,f1,ap,brier,pred_pos,pred_rate,slice_var,slice_value,delta_f1_global,fp_rate_among_neg,fn_rate_among_pos
232,54,0.2327586206896551,47,120,7,58,0.281437125748503,0.8703703703703703,0.4253393665158371,0.5741646993446914,0.166475771575585,167,0.7198275862068966,branch_id,BRANCH_023,-0.1495001713532258,0.6741573033707865,0.1296296296296296
180,52,0.2888888888888888,44,64,8,64,0.4074074074074074,0.8461538461538461,0.55,0.5935176753676872,0.1872520662959258,108,0.6,branch_id,BRANCH_024,-0.0248395378690629,0.5,0.1538461538461538
217,60,0.2764976958525346,55,90,5,67,0.3793103448275862,0.9166666666666666,0.5365853658536586,0.6645712545404169,0.1556452446311196,145,0.6682027649769585,branch_id,BRANCH_025,-0.0382541720154043,0.5732484076433121,0.0833333333333333
579,224,0.386873920552677,183,197,41,158,0.481578947368421,0.8169642857142857,0.6059602649006622,0.5742239932831564,0.2196802513036995,380,0.6563039723661486,branch_id,BRANCH_026,0.0311207270315992,0.5549295774647888,0.1830357142857142
264,110,0.4166666666666667,89,107,21,47,0.4540816326530612,0.8090909090909091,0.5816993464052288,0.5657888288610071,0.2325189384366912,196,0.7424242424242424,branch_id,BRANCH_027,0.0068598085361658,0.6948051948051948,0.1909090909090909
137,43,0.3138686131386861,26,53,17,41,0.3291139240506329,0.6046511627906976,0.4262295081967213,0.4448268690694281,0.2106567425936088,79,0.5766423357664233,branch_id,BRANCH_028,-0.1486100296723416,0.5638297872340425,0.3953488372093023
429,169,0.3939393939393939,130,131,39,129,0.4980842911877394,0.7692307692307693,0.6046511627906976,0.5647960997388464,0.2233453598730798,261,0.6083916083916084,branch_id,BRANCH_029,0.0298116249216346,0.5038461538461538,0.2307692307692307
107,33,0.308411214953271,27,29,6,45,0.4821428571428571,0.8181818181818182,0.6067415730337079,0.6958611095057285,0.1576761061238868,56,0.5233644859813084,branch_id,BRANCH_030,0.0319020351646449,0.3918918918918919,0.1818181818181818
264,104,0.3939393939393939,94,90,10,70,0.5108695652173914,0.903846153846154,0.6527777777777778,0.7430061534512766,0.1720776379129759,184,0.696969696969697,branch_id,BRANCH_032,0.0779382399087148,0.5625,0.0961538461538461
162,71,0.4382716049382716,59,61,12,30,0.4916666666666666,0.8309859154929577,0.6178010471204188,0.7506481801017546,0.2035853105415289,120,0.7407407407407407,branch_id,BRANCH_033,0.0429615092513558,0.6703296703296703,0.1690140845070422
258,58,0.2248062015503876,49,139,9,61,0.2606382978723404,0.8448275862068966,0.3983739837398374,0.31149185173119,0.1928282820594395,188,0.7286821705426356,branch_id,BRANCH_034,-0.1764655541292255,0.695,0.1551724137931034
661,188,0.2844175491679274,152,263,36,210,0.3662650602409638,0.8085106382978723,0.5041459369817579,0.570439919815521,0.1769210993716018,415,0.6278366111951589,branch_id,BRANCH_035,-0.070693600887305,0.5560253699788583,0.1914893617021276
162,50,0.3086419753086419,42,67,8,45,0.3853211009174312,0.84,0.5283018867924528,0.6787676564189242,0.175760891993512,109,0.6728395061728395,branch_id,BRANCH_037,-0.0465376510766101,0.5982142857142857,0.16
644,262,0.4068322981366459,219,148,43,234,0.5967302452316077,0.8358778625954199,0.6963434022257552,0.7723686805880363,0.1709489540936106,367,0.5698757763975155,branch_id,BRANCH_038,0.1215038643566922,0.387434554973822,0.1641221374045801
138,57,0.4130434782608695,52,42,5,39,0.5531914893617021,0.912280701754386,0.6887417218543046,0.8237105094848876,0.151216181221332,94,0.6811594202898551,branch_id,BRANCH_040,0.1139021839852416,0.5185185185185185,0.087719298245614
557,161,0.289048473967684,158,153,3,243,0.5080385852090032,0.9813664596273292,0.6694915254237288,0.8130031760757508,0.101077071775053,311,0.5583482944344704,branch_id,BRANCH_041,0.0946519875546658,0.3863636363636363,0.0186335403726708
208,44,0.2115384615384615,38,97,6,67,0.2814814814814815,0.8636363636363636,0.4245810055865922,0.5297352970165962,0.1716818996276754,135,0.6490384615384616,branch_id,BRANCH_042,-0.1502585322824707,0.5914634146341463,0.1363636363636363
269,144,0.5353159851301115,130,94,14,31,0.5803571428571429,0.9027777777777778,0.7065217391304348,0.7517125942761478,0.219452972994867,224,0.8327137546468402,reason_group,ATTENUATION LINK DOWN,0.1316822012613718,0.752,0.0972222222222222
291,76,0.2611683848797251,69,87,7,128,0.4423076923076923,0.9078947368421052,0.5948275862068966,0.8002259850000774,0.1099952592420313,156,0.5360824742268041,reason_group,BIG TRUCK CRASH POLE,0.0199880483378336,0.4046511627906977,0.0921052631578947
1099,291,0.2647861692447679,242,453,49,355,0.3482014388489208,0.8316151202749141,0.4908722109533469,0.5148790097264792,0.1667256010094324,695,0.632393084622384,reason_group,BIG TRUCK CUT THE CABLE,-0.083967326915716,0.5606435643564357,0.1683848797250859
342,108,0.3157894736842105,66,84,42,150,0.44,0.6111111111111112,0.5116279069767442,0.5356411589329169,0.195651913322192,150,0.4385964912280701,reason_group,BROKEN CABLE INSIDE,-0.0632116308923187,0.358974358974359,0.3888888888888889
748,257,0.3435828877005347,201,252,56,239,0.4437086092715231,0.7821011673151751,0.5661971830985916,0.5028016163699471,0.2100767296062467,453,0.6056149732620321,reason_group,BROKEN CABLE INSIDE MUFA,-0.0086423547704713,0.5132382892057027,0.2178988326848249
