exp_id,fold,split,n_rows,f1,precision,recall,balanced_accuracy,average_precision,brier,positive_rate_pred,positive_rate_true
S8_03_ablation_no_reason_group,3,val,2704,0.5799530673818304,0.41014698909435754,0.9897025171624714,0.654960548198722,0.7134468304977609,0.1590889288259712,0.7799556213017751,0.32322485207100593
S8_04_temporal_only,1,train,2707,0.4885538805136795,0.3232360546730698,1.0,0.5,0.47815796691969975,0.20516162372406568,1.0,0.3232360546730698
S8_04_temporal_only,1,val,2704,0.48004496908375494,0.3158284023668639,1.0,0.5,0.3259768287308875,0.3083534801798152,1.0,0.3158284023668639
S8_04_temporal_only,2,train,5411,0.4843137254901961,0.31953428201811124,1.0,0.5,0.41221682183775893,0.21232786746017218,1.0,0.31953428201811124
S8_04_temporal_only,2,val,2704,0.5002773155851359,0.33357988165680474,1.0,0.5,0.3515193137170787,0.22377298682618782,1.0,0.33357988165680474
S8_04_temporal_only,3,train,8115,0.4896705750977108,0.3242144177449168,1.0,0.5,0.40061892350806355,0.2155220431005672,1.0,0.3242144177449168
S8_04_temporal_only,3,val,2704,0.48854108440469535,0.32322485207100593,1.0,0.5,0.3316182991629072,0.21930796243802564,1.0,0.32322485207100593
S8_05_operational_core_no_time,1,train,2707,0.5512393636699963,0.4075492341356674,0.8514285714285714,0.6301356830941984,0.5189561175649751,0.19526917582604267,0.6752862947912819,0.3232360546730698
S8_05_operational_core_no_time,1,val,2704,0.4838012958963283,0.3492723492723493,0.7868852459016393,0.5550642445724413,0.44409807653113303,0.20889553641308653,0.7115384615384616,0.3158284023668639
S8_05_operational_core_no_time,2,train,5411,0.5332170880557977,0.38167748377433847,0.8843262001156738,0.6057969946803247,0.5195949413747891,0.19583224124190027,0.7403437442247274,0.31953428201811124
S8_05_operational_core_no_time,2,val,2704,0.5074518356961105,0.3775013520822066,0.7738359201773836,0.5675505904993466,0.45274763699613074,0.2152497158509878,0.683801775147929,0.33357988165680474
S8_05_operational_core_no_time,3,train,8115,0.5161560179859876,0.35603000577034044,0.9380463702014443,0.5620209969169148,0.5015568765443963,0.20106694868609457,0.8542205791743684,0.3242144177449168
S8_05_operational_core_no_time,3,val,2704,0.4915254237288136,0.32633158289572395,0.9954233409610984,0.507001287966888,0.42360161805751106,0.2118067840607332,0.9859467455621301,0.32322485207100593
S8_00_rf_baseline_all_features,1,train,2707,0.7488151658767772,0.7773677736777368,0.7222857142857143,0.8117432938240798,0.868233672882755,0.12636975409223258,0.3003324713705209,0.3232360546730698
S8_00_rf_baseline_all_features,1,val,2704,0.536928487690504,0.4029325513196481,0.8044496487119438,0.6270896892208367,0.6952486599029436,0.2675047210791992,0.6305473372781065,0.3158284023668639
S8_00_rf_baseline_all_features,2,train,5411,0.7392836171462126,0.7507453786523554,0.7281665702718334,0.8073206561299417,0.8570683229660986,0.13384592874785178,0.3099242284235816,0.31953428201811124
S8_00_rf_baseline_all_features,2,val,2704,0.6666666666666666,0.8238172920065253,0.5598669623059866,0.7499667774903962,0.7872406051183569,0.1428602301686725,0.22670118343195267,0.33357988165680474
S8_00_rf_baseline_all_features,3,train,8115,0.7352884055156341,0.7517871326449563,0.7194982896237172,0.8027651914931131,0.8534653256982999,0.13520544789526748,0.3102895871842267,0.3242144177449168
S8_00_rf_baseline_all_features,3,val,2704,0.6250690226394258,0.6040554962646745,0.6475972540045767,0.7224325067837092,0.7587469235933045,0.15932272698317404,0.34652366863905326,0.32322485207100593
