threshold,f1,precision,recall,average_precision,balanced_accuracy,brier,tp,fp,fn,tn,weighted_cost_fp_plus_3fn,alert_rate
0.14499999999999996,0.4622425629290618,0.3020937188434696,0.9837662337662337,0.4583482064959866,0.5379272154563983,0.1885896950334147,303,700,5,71,715,0.9295644114921223
0.14999999999999997,0.46319018404907975,0.3032128514056225,0.9805194805194806,0.4583482064959866,0.5401948894166794,0.1885896950334147,302,694,6,77,712,0.9230769230769231
0.15499999999999997,0.46967340590979784,0.30879345603271985,0.9805194805194806,0.4583482064959866,0.5518680411676521,0.1885896950334147,302,676,6,95,694,0.9063948100092678
0.15999999999999995,0.46985121378230227,0.30959752321981426,0.974025974025974,0.4583482064959866,0.553160846935166,0.1885896950334147,300,669,8,102,693,0.8980537534754403
0.16499999999999992,0.4726407613005551,0.3126967471143757,0.9675324675324676,0.4583482064959866,0.5589932117169472,0.1885896950334147,298,655,10,116,685,0.8832252085264134
0.16999999999999993,0.4691753402722178,0.31137088204038255,0.9512987012987013,0.4583482064959866,0.5554158876143311,0.1885896950334147,293,648,15,123,693,0.8721037998146431
0.17499999999999993,0.4631578947368421,0.30852211434735705,0.9285714285714286,0.4583482064959866,0.5485918102649621,0.1885896950334147,286,641,22,130,707,0.8591288229842446
0.17999999999999994,0.46355446355446356,0.3099671412924425,0.9188311688311688,0.4583482064959866,0.5508552731315377,0.1885896950334147,283,630,25,141,705,0.8461538461538461
0.18499999999999994,0.46727423363711684,0.3136818687430478,0.9155844155844156,0.4583482064959866,0.5576625061060859,0.1885896950334147,282,617,26,154,695,0.8331788693234476
0.18999999999999995,0.4714765100671141,0.3178733031674208,0.9123376623376623,0.4583482064959866,0.5651182475112436,0.1885896950334147,281,603,27,168,684,0.8192771084337349
0.19499999999999995,0.4745762711864407,0.3211009174311927,0.9090909090909091,0.4583482064959866,0.5706284636245725,0.1885896950334147,280,592,28,179,676,0.8081556997219648
0.1999999999999999,0.47807394668959585,0.32514619883040935,0.9025974025974026,0.4583482064959866,0.5771093368369633,0.1885896950334147,278,577,30,194,667,0.7924003707136237
0.2049999999999999,0.47660311958405543,0.32505910165484636,0.8928571428571429,0.4583482064959866,0.5761302575504911,0.1885896950334147,275,571,33,200,670,0.7840593141797961
0.2099999999999999,0.47685589519650656,0.32616487455197135,0.8863636363636364,0.4583482064959866,0.577423063318005,0.1885896950334147,273,564,35,207,669,0.7757182576459685
0.2149999999999999,0.4786476868327402,0.32965686274509803,0.8733766233766234,0.4583482064959866,0.5819542001448617,0.1885896950334147,269,547,39,224,664,0.7562557924003707
0.21999999999999992,0.4823848238482385,0.3341677096370463,0.8668831168831169,0.4583482064959866,0.5884350733572523,0.1885896950334147,267,532,41,239,655,0.7405004633920297
0.22499999999999992,0.48628884826325414,0.3384223918575064,0.8636363636363636,0.4583482064959866,0.5945937979011909,0.1885896950334147,266,520,42,251,646,0.7284522706209453
0.22999999999999993,0.4897959183673469,0.34285714285714286,0.8571428571428571,0.4583482064959866,0.600426162682972,0.1885896950334147,264,506,44,265,638,0.7136237256719185
0.23499999999999993,0.4939195509822264,0.3469119579500657,0.8571428571428571,0.4583482064959866,0.6062627385584584,0.1885896950334147,264,497,44,274,629,0.7052826691380908
0.23999999999999988,0.4971751412429379,0.35013262599469497,0.8571428571428571,0.4583482064959866,0.6108022975727255,0.1885896950334147,264,490,44,281,622,0.6987951807228916
0.24499999999999988,0.5009560229445507,0.35501355013550134,0.8506493506493507,0.4583482064959866,0.6166346623545067,0.1885896950334147,262,476,46,295,614,0.6839666357738647
0.2499999999999999,0.5038910505836576,0.3597222222222222,0.8409090909090909,0.4583482064959866,0.6214921589435208,0.1885896950334147,259,461,49,310,608,0.6672845227062094
0.2549999999999999,0.5044160942100098,0.36146272855133615,0.8344155844155844,0.4583482064959866,0.6227849647110347,0.1885896950334147,257,454,51,317,607,0.6589434661723819
0.2599999999999999,0.5099601593625498,0.367816091954023,0.8311688311688312,0.4583482064959866,0.6302407061161925,0.1885896950334147,256,440,52,331,596,0.6450417052826691
0.2649999999999999,0.5136501516683518,0.37298091042584436,0.8246753246753247,0.4583482064959866,0.635424562467364,0.1885896950334147,254,427,54,344,589,0.6311399443929564
0.2699999999999999,0.5108583247156153,0.37481031866464337,0.801948051948052,0.4583482064959866,0.6337885525628717,0.1885896950334147,247,412,61,359,595,0.6107506950880445
0.2749999999999999,0.5137420718816068,0.38087774294670845,0.788961038961039,0.4583482064959866,0.6383196893897283,0.1885896950334147,243,395,65,376,590,0.5912882298424467
0.27999999999999986,0.5173160173160173,0.387987012987013,0.775974025974026,0.4583482064959866,0.6434993346471946,0.1885896950334147,239,377,69,394,584,0.5708989805375347
0.28499999999999986,0.5165562913907285,0.391304347826087,0.7597402597402597,0.4583482064959866,0.6438130611282362,0.1885896950334147,234,364,74,407,586,0.5542168674698795
0.28999999999999987,0.5153234960272418,0.3961605584642234,0.737012987012987,0.4583482064959866,0.6441225765155727,0.1885896950334147,227,346,81,425,589,0.531047265987025
0.2949999999999999,0.5127610208816705,0.3989169675090253,0.7175324675324676,0.4583482064959866,0.6428129263732376,0.1885896950334147,221,333,87,438,594,0.5134383688600556
0.2999999999999999,0.5129411764705882,0.4022140221402214,0.7077922077922078,0.4583482064959866,0.6437793723785942,0.1885896950334147,218,324,90,447,594,0.5023169601482854
0.3049999999999999,0.5053892215568863,0.40037950664136623,0.685064935064935,0.4583482064959866,0.6376038034598346,0.1885896950334147,211,316,97,455,607,0.48841519925857274
0.3099999999999999,0.4987714987714988,0.40118577075098816,0.6590909090909091,0.4583482064959866,0.6330474000707463,0.1885896950334147,203,303,105,468,618,0.468952734012975
0.31499999999999984,0.49559748427672956,0.40451745379876797,0.6396103896103896,0.4583482064959866,0.6317377499284114,0.1885896950334147,197,290,111,481,623,0.45134383688600554
0.31999999999999984,0.4805194805194805,0.4004329004329004,0.6006493506493507,0.4583482064959866,0.6206878400458167,0.1885896950334147,185,277,123,494,646,0.4281742354031511
0.32499999999999984,0.4786096256684492,0.4068181818181818,0.5811688311688312,0.4583482064959866,0.6213237151953106,0.1885896950334147,179,261,129,510,648,0.4077849860982391
0.32999999999999985,0.47058823529411764,0.4066193853427896,0.5584415584415584,0.4583482064959866,0.6164451631377701,0.1885896950334147,172,251,136,520,659,0.39202965708989806
0.33499999999999985,0.4541607898448519,0.4014962593516209,0.5227272727272727,0.4583482064959866,0.6057216130173328,0.1885896950334147,161,240,147,531,681,0.3716404077849861
0.33999999999999986,0.4531024531024531,0.4077922077922078,0.5097402597402597,0.4583482064959866,0.6070102076911416,0.1885896950334147,157,228,151,543,681,0.3568118628359592
0.34499999999999986,0.45294117647058824,0.41397849462365593,0.5,0.4583482064959866,0.6086251621271077,0.1885896950334147,154,218,154,553,680,0.3447636700648749
0.3499999999999998,0.44042232277526394,0.4112676056338028,0.474025974025974,0.4583482064959866,0.601474725015581,0.1885896950334147,146,209,162,562,695,0.3290083410565338
0.3549999999999998,0.4406779661016949,0.41935483870967744,0.4642857142857143,0.4583482064959866,0.6037381878821568,0.1885896950334147,143,198,165,573,693,0.3160333642261353
0.3599999999999998,0.43630573248407645,0.428125,0.4448051948051948,0.4583482064959866,0.6037255546010409,0.1885896950334147,137,183,171,588,696,0.2965708989805375
0.3649999999999998,0.43478260869565216,0.43130990415335463,0.4383116883116883,0.4583482064959866,0.6037213435073358,0.1885896950334147,135,178,173,593,697,0.29008341056533826
0.36999999999999983,0.4302134646962233,0.43521594684385384,0.4253246753246753,0.4583482064959866,0.6024159044587061,0.1885896950334147,131,170,177,601,701,0.2789620018535681
0.37499999999999983,0.4292845257903494,0.4402730375426621,0.41883116883116883,0.4583482064959866,0.6030602017956104,0.1885896950334147,129,164,179,607,701,0.2715477293790547
0.37999999999999984,0.4244482173174873,0.44483985765124556,0.40584415584415584,0.4583482064959866,0.6017547627469807,0.1885896950334147,125,156,183,615,705,0.26042632066728455
0.38499999999999984,0.4212328767123288,0.44565217391304346,0.39935064935064934,0.4583482064959866,0.6004535347920562,0.1885896950334147,123,153,185,618,708,0.2557924003707136
0.38999999999999985,0.4181184668989547,0.45112781954887216,0.38961038961038963,0.4583482064959866,0.6001229639361936,0.1885896950334147,120,146,188,625,710,0.24652455977757182
0.3949999999999998,0.40569395017793597,0.44881889763779526,0.37012987012987014,0.4583482064959866,0.5942737547795913,0.1885896950334147,114,140,194,631,722,0.23540315106580167
0.3999999999999998,0.4072072072072072,0.4574898785425101,0.36688311688311687,0.4583482064959866,0.5965414287398723,0.1885896950334147,113,134,195,637,719,0.2289156626506024
0.4049999999999998,0.4007352941176471,0.461864406779661,0.3538961038961039,0.4583482064959866,0.594587481260633,0.1885896950334147,109,127,199,644,724,0.21872103799814643
0.4099999999999998,0.40373831775700936,0.47577092511013214,0.35064935064935066,0.4583482064959866,0.5981521720821332,0.1885896950334147,108,119,200,652,719,0.21037998146431883
0.4149999999999998,0.4060721062618596,0.4885844748858447,0.3474025974025974,0.4583482064959866,0.6010683544730238,0.1885896950334147,107,112,201,659,715,0.20296570898980537
0.4199999999999998,0.4015444015444015,0.49523809523809526,0.33766233766233766,0.4583482064959866,0.6000892751865514,0.1885896950334147,104,106,204,665,718,0.19462465245597776
0.4249999999999998,0.3968565815324165,0.5024875621890548,0.32792207792207795,0.4583482064959866,0.5991101959000792,0.1885896950334147,101,100,207,671,721,0.18628359592215013
0.42999999999999977,0.37675350701402804,0.49214659685863876,0.3051948051948052,0.4583482064959866,0.5896920848282716,0.1885896950334147,94,97,214,674,739,0.17701575532900835
0.4349999999999998,0.37322515212981744,0.4972972972972973,0.2987012987012987,0.4583482064959866,0.5890393653039567,0.1885896950334147,92,93,216,678,741,0.17145505097312327
0.4399999999999998,0.36960985626283366,0.5027932960893855,0.2922077922077922,0.4583482064959866,0.5883866457796418,0.1885896950334147,90,89,218,682,743,0.16589434661723818
0.4449999999999998,0.3659043659043659,0.5086705202312138,0.2857142857142857,0.4583482064959866,0.5877339262553269,0.1885896950334147,88,85,220,686,745,0.1603336422613531
0.4499999999999998,0.34893617021276596,0.5061728395061729,0.2662337662337662,0.4583482064959866,0.5812362086681153,0.1885896950334147,82,80,226,691,758,0.15013901760889714
0.4549999999999998,0.3311546840958606,0.5033112582781457,0.24675324675324675,0.4583482064959866,0.5747384910809036,0.1885896950334147,76,75,232,696,771,0.13994439295644115
0.4599999999999998,0.3185840707964602,0.5,0.23376623376623376,0.4583482064959866,0.5701905098792258,0.1885896950334147,72,72,236,699,780,0.1334569045412419
