alarm_record_id,snapshot_time,severity,alarm_source_type,branch_candidate,alarm_name,first_occurred_at,last_occurred_at,alarm_age_hours,occurrence_times,down_reason,port_oper_status,clearance_status,acknowledgment_status,maintenance_status,reason_group_candidate,candidate_risk_score
alarm_00060,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:45:25,2017-12-15 00:45:25,73505.19833333333,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00061,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:45:26,2017-12-15 00:45:26,73505.19805555555,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00062,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:45:27,2017-12-15 00:45:27,73505.19777777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00063,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:45:28,2017-12-15 00:45:28,73505.1975,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00064,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:45:29,2017-12-15 00:45:29,73505.19722222222,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00065,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:45:30,2017-12-15 00:45:30,73505.19694444444,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00066,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:45:31,2017-12-15 00:45:31,73505.19666666667,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00067,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:45:32,2017-12-15 00:45:32,73505.19638888889,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00068,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:45:33,2017-12-15 00:45:33,73505.19611111112,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00069,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:45:34,2017-12-15 00:45:34,73505.19583333333,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00070,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:45:36,2017-12-15 00:45:36,73505.19527777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
