alarm_record_id,data_source,snapshot_time,severity,alarm_source_id,alarm_source_type,alarm_name,first_occurred_at,last_occurred_at,alarm_age_hours,occurrence_times,down_reason,port_oper_status,port_admin_status,clearance_status,acknowledgment_status,maintenance_status,candidate_risk_score,reason_group_candidate
alarm_00036,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00037,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00038,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00039,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00040,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00041,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00042,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00043,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00044,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
alarm_00045,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:24:09,2017-12-15 00:24:09,73505.55,1,LOS,DOWN,UP,-,-,NORMAL,0.88,equipment_module
